Russian,English
и,and
в,in
не,not
на,on
я,I
быть,to be
с,with
он,is he
что,what
а,a
это,it
этот,this
по,on
к,to
но,but
они,they
мы,we
она,she is
как,How
то,then
который,which
из,from
у,u
свой,mine
вы,you
весь,All
за,behind
для,for
от,from
мочь,To be able
так,So
ты,you
о,about
что,what
человек,human
же,the same
год,year
всё,everything
такой,such
тот,that
или,or
если,if
только,only
его,him
один,one
бы,would
себя,myself
время,time
ещё,yet
другой,another
уже,already
когда,when
сказать,say
до,before
мой,my
наш,our
чтобы,to
становиться,become
говорить,speak
самый,most
знать,know
вот,here
очень,very
кто,who
при,at
день,day
можно,can
жизнь,a life
первый,first
сам,myself
дело,a business
два,two
новый,new
даже,even
хотеть,to want
должен,should
раз,once
их,them
работа,Job
какой,which
иметь,have
со,CO
там,there
после,after
понимать,understand
ли,Lee
где,where
рука,hand
город,town
вопрос,question
её,her
под,under
давать,give
слово,word
нет,No
место,place
каждый,each
без,without
ребёнок,child
ну,well
более,more
друг,friend
идти,go
большой,big
просто,simply
начинать,start off
чем,how
сделать,do
ваш,your
надо,necessary
здесь,here
Россия,Russia
делать,make
видеть,see
потом,after
да,Yes
ничто,nothing
получать,receive
сейчас,now
через,across
много,many
мир,world
теперь,now
оставаться,stay
случай,happening
думать,think
ни,Neither
сторона,side
хороший,good
глаз,eye
тогда,then
тут,here
несколько,some
тоже,too
приходить,come
дом,house
страна,a country
работать,work
отвечать,reply
последний,last
лицо,face
жить,live
сила,force
женщина,woman
выходить,go out
часть,part
также,same
всегда,always
являться,to be
система,system
вид,view
голова,head
конец,the end
находить,find
между,between
оказываться,come to
хотя,although
смотреть,watch
конечно,certainly
проблема,problem
принимать,take
спрашивать,ask
проходить,pass
отношение,attitude
три,three
второй,second
перед,before
лишь,only
именно,exactly
образ,image
поэтому,that's why
почему,why
Москва,Moscow
любой,any
однако,However
никто,none
час,hour
решать,decide
деньги,money
считать,consider
над,over
земля,Earth
сегодня,today
русский,Russian
вообще,at all
взять,take
книга,book
хорошо,OK
пойти,Go
некоторый,some
компания,company
история,history
многие,many
приходиться,To have
любить,be in love
возможность,opportunity
нужно,need
всё,everything
результат,result
больше,more
